,date,SPX
2722,1981-01-02,136.33999633789062
2723,1981-01-05,137.97000122070312
2724,1981-01-06,138.1199951171875
2725,1981-01-07,135.0800018310547
2726,1981-01-08,133.05999755859375
2727,1981-01-09,133.47999572753906
2728,1981-01-12,133.52000427246094
2729,1981-01-13,133.2899932861328
2730,1981-01-14,133.47000122070312
2731,1981-01-15,134.22000122070312
2732,1981-01-16,134.77000427246094
2733,1981-01-19,134.3699951171875
2734,1981-01-20,131.64999389648438
2735,1981-01-21,131.36000061035156
2736,1981-01-22,130.25999450683594
2737,1981-01-23,130.22999572753906
2738,1981-01-26,129.83999633789062
2739,1981-01-27,131.1199951171875
2740,1981-01-28,130.33999633789062
2741,1981-01-29,130.24000549316406
2742,1981-01-30,129.5500030517578
2743,1981-02-02,126.91000366210938
2744,1981-02-03,128.4600067138672
2745,1981-02-04,128.58999633789062
2746,1981-02-05,129.6300048828125
2747,1981-02-06,130.60000610351562
2748,1981-02-09,129.27000427246094
2749,1981-02-10,129.24000549316406
2750,1981-02-11,128.24000549316406
2751,1981-02-12,127.4800033569336
2752,1981-02-13,126.9800033569336
2753,1981-02-17,127.80999755859375
2754,1981-02-18,128.47999572753906
2755,1981-02-19,126.61000061035156
2756,1981-02-20,126.58000183105469
2757,1981-02-23,127.3499984741211
2758,1981-02-24,127.38999938964844
2759,1981-02-25,128.52000427246094
2760,1981-02-26,130.10000610351562
2761,1981-02-27,131.27000427246094
2762,1981-03-02,132.00999450683594
2763,1981-03-03,130.55999755859375
2764,1981-03-04,130.86000061035156
2765,1981-03-05,129.92999267578125
2766,1981-03-06,129.85000610351562
2767,1981-03-09,131.1199951171875
2768,1981-03-10,130.4600067138672
2769,1981-03-11,129.9499969482422
2770,1981-03-12,133.19000244140625
2771,1981-03-13,133.11000061035156
2772,1981-03-16,134.67999267578125
2773,1981-03-17,133.9199981689453
2774,1981-03-18,134.22000122070312
2775,1981-03-19,133.4600067138672
2776,1981-03-20,134.0800018310547
2777,1981-03-23,135.69000244140625
2778,1981-03-24,134.6699981689453
2779,1981-03-25,137.11000061035156
2780,1981-03-26,136.27000427246094
2781,1981-03-27,134.64999389648438
2782,1981-03-30,134.27999877929688
2783,1981-03-31,136.0
2784,1981-04-01,136.57000732421875
2785,1981-04-02,136.32000732421875
2786,1981-04-03,135.49000549316406
2787,1981-04-06,133.92999267578125
2788,1981-04-07,133.91000366210938
2789,1981-04-08,134.30999755859375
2790,1981-04-09,134.6699981689453
2791,1981-04-10,134.50999450683594
2792,1981-04-13,133.14999389648438
2793,1981-04-14,132.67999267578125
2794,1981-04-15,134.1699981689453
2795,1981-04-16,134.6999969482422
2796,1981-04-20,135.4499969482422
2797,1981-04-21,134.22999572753906
2798,1981-04-22,134.13999938964844
2799,1981-04-23,133.94000244140625
2800,1981-04-24,135.13999938964844
2801,1981-04-27,135.47999572753906
2802,1981-04-28,134.3300018310547
2803,1981-04-29,133.0500030517578
2804,1981-04-30,132.80999755859375
2805,1981-05-01,132.72000122070312
2806,1981-05-04,130.6699981689453
2807,1981-05-05,130.32000732421875
2808,1981-05-06,130.77999877929688
2809,1981-05-07,131.6699981689453
2810,1981-05-08,131.66000366210938
2811,1981-05-11,129.7100067138672
2812,1981-05-12,130.72000122070312
2813,1981-05-13,130.5500030517578
2814,1981-05-14,131.27999877929688
2815,1981-05-15,132.1699981689453
2816,1981-05-18,132.5399932861328
2817,1981-05-19,132.08999633789062
2818,1981-05-20,132.0
2819,1981-05-21,131.75
2820,1981-05-22,131.3300018310547
2821,1981-05-26,132.77000427246094
2822,1981-05-27,133.77000427246094
2823,1981-05-28,133.4499969482422
2824,1981-05-29,132.58999633789062
2825,1981-06-01,132.41000366210938
2826,1981-06-02,130.6199951171875
2827,1981-06-03,130.7100067138672
2828,1981-06-04,130.9600067138672
2829,1981-06-05,132.22000122070312
2830,1981-06-08,132.24000549316406
2831,1981-06-09,131.97000122070312
2832,1981-06-10,132.32000732421875
2833,1981-06-11,133.75
2834,1981-06-12,133.49000549316406
2835,1981-06-15,133.61000061035156
2836,1981-06-16,132.14999389648438
2837,1981-06-17,133.32000732421875
2838,1981-06-18,131.63999938964844
2839,1981-06-19,132.27000427246094
2840,1981-06-22,131.9499969482422
2841,1981-06-23,133.35000610351562
2842,1981-06-24,132.66000366210938
2843,1981-06-25,132.80999755859375
2844,1981-06-26,132.55999755859375
2845,1981-06-29,131.88999938964844
2846,1981-06-30,131.2100067138672
2847,1981-07-01,129.77000427246094
2848,1981-07-02,128.63999938964844
2849,1981-07-06,127.37000274658203
2850,1981-07-07,128.24000549316406
2851,1981-07-08,128.32000732421875
2852,1981-07-09,129.3000030517578
2853,1981-07-10,129.3699951171875
2854,1981-07-13,129.63999938964844
2855,1981-07-14,129.64999389648438
2856,1981-07-15,130.22999572753906
2857,1981-07-16,130.33999633789062
2858,1981-07-17,130.75999450683594
2859,1981-07-20,128.72000122070312
2860,1981-07-21,128.33999633789062
2861,1981-07-22,127.12999725341797
2862,1981-07-23,127.4000015258789
